Question,Answer,reference,Metadata,Text,意图分类
政府采购活动中，信用信息查询记录和相关证据需要保存多久？,政府采购活动中，信用信息查询记录和相关证据应当与其他采购文件一并保存，通常需要保存至少十五年。,信用信息查询记录及相关证据应当与其他采购文件一并保存。,"{'title': '财政部关于在政府采购活动中查询及使用信用记录有关问题的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",在政府采购活动中查询及使用信用记录，对参与政府采购活动的供应商、采购代理机构及评审专家进行守信激励、失信约束，是政府相关部门开展协同监管和联合惩戒的重要举措，对降低市场运行成本、改善营商环境、高效开展市场经济活动具有重要作用，有利于形成“一处违规、处处受限”的信用机制。近年来，财政部与有关部门联合签署了《关于对重大税收违法案件当事人实施联合惩戒措施的合作备忘录》（发改财金〔2014〕3062号）、《失信企业协同监管和联合惩戒合作备忘录》（发改财金〔2015〕2045号）、《关于对违法失信上市公司相关责任主体实施联合惩戒的合作备忘录》（发改财金〔2015〕3062号）、《关于对失信被执行人实施联合惩戒的合作备忘录》（发改财金〔2016〕141号）、《关于对安全生产领域失信生产经营单位及其有关人员开展联合惩戒的合作备忘录》（发改财金〔2016〕1001号），依法限制相关失信主体参与政府采购活动。各地区各部门要进一步提高认识，推动建立政府采购活动信用记录查询及使用工作机制，加快建立政府采购信用评价制度，有效应用信用信息和信用报告，积极推进政府采购领域联合惩戒工作。二、认真做好信用记录查询及使用工作（一）总体要求。各地区各部门应当按照社会信用体系建设有关要求，根据社会信用体系建设情况，创造条件将相关主体的信用记录作为供应商资格审查、采购代理机构委托、评审专家管理的重要依据。（二）信用记录查询渠道。各级财政部门、采购人、采购代理机构应当通过“信用中国”网站（www.creditchina.gov.cn）、中国政府采购网（www.ccgp.gov.cn）等渠道查询相关主体信用记录，并采取必要方式做好信用信息查询记录和证据留存，信用信息查询记录及相关证据应当与其他采购文件一并保存。（三）信用记录的使用。,政策知识
中央预算单位在公开采购意向时需要注意哪些方面？,中央预算单位需要加强采购活动的计划性，按照通知要求及时、全面地公开采购意向，确保不遗漏、不延误。,各中央预算单位要加强采购活动的计划性，按照本通知要求及时、全面公开采购意向。,"{'title': '财政部关于开展政府采购意向公开工作的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",部门预算批复前公开的采购意向，以部门预算“二上”内容为依据；部门预算批复后公开的采购意向，以部门预算为依据。预算执行中新增采购项目应当及时公开采购意向。采购意向公开时间应当尽量提前，原则上不得晚于采购活动开始前30日公开采购意向。因预算单位不可预见的原因急需开展的采购项目，可不公开采购意向。六、工作要求各中央预算单位要加强采购活动的计划性，按照本通知要求及时、全面公开采购意向。各中央主管预算单位应当做好统筹协调工作，及时安排部署，加强对本部门所属预算单位的督促和指导，确保所属预算单位严格按规定公开采购意向，做到不遗漏、不延误。各省级财政部门要根据本通知要求抓紧制定具体工作方案，对本地区采购意向公开工作进行布置，着重加强对市县级预算单位政府采购意向公开工作的指导，并在中国政府采购网地方分网设置相关专栏，确保本地区各级预算单位按要求完成采购意向公开工作。各地区、各部门要认真总结采购意向公开工作中好的做法和经验，对推进过程中遇到的新情况、新问题，要研究完善有关举措，并及时向财政部反映。财政部将结合政府采购透明度评估工作，对采购意向公开情况进行检查并对检查结果予以通报。特此通知。附件：政府采购意向公开参考文本（略）财政部2020年3月2日,政策知识
政府购买服务项目中，采用竞争性磋商方式采购时，若只有两家供应商符合要求，是否需要重新招标？,不需要重新招标。根据相关规定，在这种情况下，竞争性磋商采购活动可以继续进行，无需重新招标。,采用竞争性磋商采购方式采购的政府购买服务项目（含政府和社会资本合作项目），在采购过程中符合要求的供应商（社会资本）只有2家的，竞争性磋商采购活动可以继续进行。,"{'title': '财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",（财库〔2015〕124号）党中央有关部门，国务院各部委、各直属机构，全国人大常委会办公厅，全国政协办公厅，高法院，高检院，各民主党派中央，有关人民团体，各省、自治区、直辖市、计划单列市财政厅（局），新疆生产建设兵团财务局，各集中采购机构：为了深入推进政府采购制度改革和政府购买服务工作，促进实现“物有所值”价值目标，提高政府采购效率，现就《财政部关于印发＜政府采购竞争性磋商采购方式管理暂行办法＞的通知》（财库〔2014〕214号）有关问题补充通知如下：采用竞争性磋商采购方式采购的政府购买服务项目（含政府和社会资本合作项目），在采购过程中符合要求的供应商（社会资本）只有2家的，竞争性磋商采购活动可以继续进行。采购过程中符合要求的供应商（社会资本）只有1家的，采购人（项目实施机构）或者采购代理机构应当终止竞争性磋商采购活动，发布项目终止公告并说明原因，重新开展采购活动。请遵照执行。财政部2015年6月30日,政策知识
采购人是否可以完全委托采购代理机构进行项目验收，而不进行任何书面确认？,不可以。采购人委托采购代理机构进行履约验收时，必须对验收结果进行书面确认，以确保验收过程的合法性和结果的可靠性。,采购人应当依法组织履约验收工作。采购人应当根据采购项目的具体情况，自行组织项目验收或者委托采购代理机构验收。采购人委托采购代理机构进行履约验收的，应当对验收结果进行书面确认。,"{'title': '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",采购需求、项目验收标准和程序应当作为采购合同的附件。三、严格规范开展履约验收（五）采购人应当依法组织履约验收工作。采购人应当根据采购项目的具体情况，自行组织项目验收或者委托采购代理机构验收。采购人委托采购代理机构进行履约验收的，应当对验收结果进行书面确认。（六）完整细化编制验收方案。采购人或其委托的采购代理机构应当根据项目特点制定验收方案，明确履约验收的时间、方式、程序等内容。技术复杂、社会影响较大的货物类项目，可以根据需要设置出厂检验、到货检验、安装调试检验、配套服务检验等多重验收环节；服务类项目，可根据项目特点对服务期内的服务实施情况进行分期考核，结合考核情况和服务效果进行验收；工程类项目应当按照行业管理部门规定的标准、方法和内容进行验收。（七）完善验收方式。对于采购人和使用人分离的采购项目，应当邀请实际使用人参与验收。采购人、采购代理机构可以邀请参加本项目的其他供应商或第三方专业机构及专家参与验收，相关验收意见作为验收书的参考资料。政府向社会公众提供的公共服务项目，验收时应当邀请服务对象参与并出具意见，验收结果应当向社会公告。（八）严格按照采购合同开展履约验收。采购人或者采购代理机构应当成立验收小组，按照采购合同的约定对供应商履约情况进行验收。验收时，应当按照采购合同的约定对每一项技术、服务、安全标准的履约情况进行确认。验收结束后，应当出具验收书，列明各项标准的验收情况及项目总体评价，由验收双方共同签署。验收结果应当与采购合同约定的资金支付及履约保证金返还条件挂钩。履约验收的各项资料应当存档备查。（九）严格落实履约验收责任。验收合格的项目，采购人应当根据采购合同的约定及时向供应商支付采购资金、退还履约保证金。验收不合格的项目，采购人应当依法及时处理。采购合同的履行、违约责任和解决争议的方式等适用《中华人民共和国合同法》。,政策知识
如果项目验收不合格，采购人应该如何处理？,如果项目验收不合格，采购人应当依法及时处理，可能包括要求供应商整改、重新验收或依据合同约定采取其他法律措施。,验收合格的项目，采购人应当根据采购合同的约定及时向供应商支付采购资金、退还履约保证金。验收不合格的项目，采购人应当依法及时处理。,"{'title': '财政部关于进一步加强政府采购需求和履约验收管理的指导意见', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",采购需求、项目验收标准和程序应当作为采购合同的附件。三、严格规范开展履约验收（五）采购人应当依法组织履约验收工作。采购人应当根据采购项目的具体情况，自行组织项目验收或者委托采购代理机构验收。采购人委托采购代理机构进行履约验收的，应当对验收结果进行书面确认。（六）完整细化编制验收方案。采购人或其委托的采购代理机构应当根据项目特点制定验收方案，明确履约验收的时间、方式、程序等内容。技术复杂、社会影响较大的货物类项目，可以根据需要设置出厂检验、到货检验、安装调试检验、配套服务检验等多重验收环节；服务类项目，可根据项目特点对服务期内的服务实施情况进行分期考核，结合考核情况和服务效果进行验收；工程类项目应当按照行业管理部门规定的标准、方法和内容进行验收。（七）完善验收方式。对于采购人和使用人分离的采购项目，应当邀请实际使用人参与验收。采购人、采购代理机构可以邀请参加本项目的其他供应商或第三方专业机构及专家参与验收，相关验收意见作为验收书的参考资料。政府向社会公众提供的公共服务项目，验收时应当邀请服务对象参与并出具意见，验收结果应当向社会公告。（八）严格按照采购合同开展履约验收。采购人或者采购代理机构应当成立验收小组，按照采购合同的约定对供应商履约情况进行验收。验收时，应当按照采购合同的约定对每一项技术、服务、安全标准的履约情况进行确认。验收结束后，应当出具验收书，列明各项标准的验收情况及项目总体评价，由验收双方共同签署。验收结果应当与采购合同约定的资金支付及履约保证金返还条件挂钩。履约验收的各项资料应当存档备查。（九）严格落实履约验收责任。验收合格的项目，采购人应当根据采购合同的约定及时向供应商支付采购资金、退还履约保证金。验收不合格的项目，采购人应当依法及时处理。采购合同的履行、违约责任和解决争议的方式等适用《中华人民共和国合同法》。,政策知识
境外机构作为投资方参与增资需要满足哪些条件？,境外机构作为投资方参与增资，应符合国家有关外商投资的监督管理规定，并由被增资企业集团（控股）公司按照有关规定报经政府有关部门批准。,投资方为境外机构的，应符合国家有关外商投资的监督管理规定，由被增资企业集团（控股）公司按照有关规定报经政府有关部门批准。,"{'title': '财政部关于进一步明确国有金融企业增资扩股股权管理有关问题的通知', 'time': '发布时间：2021-07-15', 'infosource': '信息来源：国家'}",其中，重点子公司因增资行为导致实际控制权转移的，须报财政部门履行相关程序。重点子公司由集团（控股）公司综合考虑公司长期发展战略、金融业务布局、财务管理水平、风险管控能力、投资行业范围等因素确定，包括但不限于集团（控股）公司具有实际控制权的金融企业和上市公司，以及当期净资产占集团（控股）公司本级净资产超过一定比例（一般不低于5%）的各级子公司。国有金融企业应建立重点子公司动态名录，并报同级财政部门备案。（三）国有金融企业未完成公司制改革、治理结构不健全的，所属子公司增资行为须报财政部门履行相关程序。（四）行政事业单位（除金融管理部门外）所办竞争性国有金融企业因增资行为导致实际控制权转移的，按现行管理体制，报财政部门履行相关程序。三、增资行为的报告主体为集团（控股）公司。被增资企业为多家国有金融企业共同持股的，由其中持股比例最大的国有股东负责履行相关程序；各国有股东持股比例相同的，由相关股东协商后确定其中一家股东负责履行相关程序。四、国有金融企业增资应当符合企业发展战略，做好可行性研究，制定增资方案，明确增资资金金额、用途、投资方应具备的条件、选择标准和遴选方式等。五、被增资企业应对意向投资方进行资格审查，增资引入的投资方应当符合股东资质相关要求。除法律法规另有规定外，增资资金应为真实合法的自有资金（增资额一般应低于投资方的净资产），不得使用受托（管理）资金、债务资金等非自有资金参与增资，以非货币财产出资的应当依法进行资产评估。投资方为境外机构的，应符合国家有关外商投资的监督管理规定，由被增资企业集团（控股）公司按照有关规定报经政府有关部门批准。六、国有金融企业增资，应根据资产评估有关规定，委托符合条件的资产评估机构开展相关工作，并以被增资企业评估价值和投资方出资额为依据确定资本及股权比例。,政策知识
资产处置完成后，主管部门和财政部门需要履行哪些备案手续？,资产处置完成后，主管部门根据财政部门授权审批的资产处置事项，应当及时向财政部门备案；由行政事业单位审批的资产处置事项，则由主管部门及时汇总并向财政部门备案，以确保资产处置的透明和规范。,各级财政部门和主管部门应当进一步加大对资产处置的监管力度，建立资产处置监督管理机制。主管部门根据财政部门授权审批的资产处置事项，应当及时向财政部门备案；由行政事业单位审批的资产处置事项，应当由主管部门及时汇总并向财政部门备案。,"{'title': '财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见', 'time': '发布时间：2021-07-15', 'infosource': '信息来源：国家'}",除国家另有规定外，各级事业单位不得利用财政资金对外投资，不得买卖期货、股票，不得购买各种企业债券、各类投资基金和其他任何形式的金融衍生品或进行任何形式的金融风险投资，不得在国外贷款债务尚未清偿前利用该贷款形成的资产进行对外投资等。事业单位对外投资必须严格履行审批程序，加强风险管控等。利用非货币性资产进行对外投资的，应当严格履行资产评估程序，法律另有规定的，从其规定。（十六）加强对各行政事业单位资产出租出借行为的监管，严格控制出租出借国有资产行为，确需出租出借资产的，应当按照规定程序履行报批手续，原则上实行公开竞价招租，必要时可以采取评审或者资产评估等方式确定出租价格，确保出租出借过程的公正透明。（十七）探索建立行政事业单位资产共享共用机制，推进行政事业单位资产整合。建立资产共享共用与资产绩效、资产配置、单位预算挂钩的联动机制，避免资产重复配置、闲置浪费。鼓励开展“公物仓”管理，对闲置资产、临时机构（大型会议）购置资产在其工作任务完成后实行集中管理，调剂利用。六、加强行政事业单位资产处置管理，进一步规范资产处置行为（十八）资产处置应当遵循公开、公平、公正的原则，严格执行国有资产处置制度，履行审批手续，规范处置行为，防止国有资产流失。未按规定履行相关程序的，任何单位和个人不得擅自处置国有资产。处置国有资产原则上应当按照规定程序进行资产评估，并通过拍卖、招投标等公开进场交易方式处置，杜绝暗箱操作。资产处置完成后，应当及时办理产权变动并进行账务处理。（十九）各级财政部门和主管部门应当进一步加大对资产处置的监管力度，建立资产处置监督管理机制。主管部门根据财政部门授权审批的资产处置事项，应当及时向财政部门备案；由行政事业单位审批的资产处置事项，应当由主管部门及时汇总并向财政部门备案。由本级人民政府确定的重大资产处置事项，由同级财政部门按照规定程序办理。,政策知识
在编制资产配置预算时，如何确保标准的科学性和合理性？,为确保资产配置预算的科学性和合理性，各级财政部门应按照“先易后难、分类实施、逐步推进”的原则，分类制定资产配置标准。具体措施包括明确各类资产的配置数量、价格上限和最低使用年限，并根据物价水平和财力状况等因素适时调整标准，从而为预算编制提供科学依据。,（十二）资产配置标准是科学合理编制资产配置预算的重要依据，各级财政部门要按照“先易后难、分类实施、逐步推进”的原则，分类制定资产配置标准。明确各类资产的配置数量、价格上限和最低使用年限等，并根据物价水平和财力状况等因素变化适时调整，为预算编制提供科学依据。,"{'title': '财政部关于进一步规范和加强行政事业单位国有资产管理的指导意见', 'time': '发布时间：2021-07-15', 'infosource': '信息来源：国家'}",（十二）资产配置标准是科学合理编制资产配置预算的重要依据，各级财政部门要按照“先易后难、分类实施、逐步推进”的原则，分类制定资产配置标准。明确各类资产的配置数量、价格上限和最低使用年限等，并根据物价水平和财力状况等因素变化适时调整，为预算编制提供科学依据。通用资产配置标准由财政部门组织制定，专用资产配置标准由财政部门会同有关部门制定。对已制定资产配置标准的，应当结合财力情况严格按照标准配置；对没有规定资产配置标准的，应当坚持厉行节约、从严控制的原则，并结合单位履职需要、存量资产状况和财力情况等，在充分论证的基础上，采取调剂、租赁、购置等方式进行配置。（十三）加大对行政事业单位资产的调控力度，有效盘活存量资产，优化资源配置。建立行政事业单位超标准配置、低效运转或者长期闲置资产调剂机制。五、加强行政事业单位资产使用管理，提高国有资产使用效率（十四）各级主管部门和行政事业单位应当加强资产使用管理，进一步落实行政事业单位资产管理主体责任制和各项资产使用管理的规章制度，明确资产使用管理的内部流程、岗位职责和内控制度，充分依托行政事业单位资产管理信息系统的动态管理优势，做到账实相符、账账相符、账卡相符。（十五）除法律另有规定外，各级行政单位不得利用国有资产对外担保，不得以任何形式利用占有、使用的国有资产进行对外投资。除国家另有规定外，各级事业单位不得利用财政资金对外投资，不得买卖期货、股票，不得购买各种企业债券、各类投资基金和其他任何形式的金融衍生品或进行任何形式的金融风险投资，不得在国外贷款债务尚未清偿前利用该贷款形成的资产进行对外投资等。事业单位对外投资必须严格履行审批程序，加强风险管控等。利用非货币性资产进行对外投资的，应当严格履行资产评估程序，法律另有规定的，从其规定。,政策知识
评审过程中发现有人非法干预评审工作，应该怎么处理？,应当及时向财政部门报告，依法进行处理。采购人、采购代理机构和评审委员会在评审工作中要相互监督和制约，确保评审工作的公正性。,采购人、采购代理机构和评审委员会在评审工作中，要依法相互监督和制约，并自觉接受各级财政部门的监督。对非法干预评审工作等违法违规行为，应当及时向财政部门报告。,"{'title': '财政部关于进一步规范政府采购评审工作有关问题的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：国家'}",采购人、采购代理机构和评审委员会在评审工作中，要依法相互监督和制约，并自觉接受各级财政部门的监督。对非法干预评审工作等违法违规行为，应当及时向财政部门报告。二、切实履行政府采购评审职责采购人、采购代理机构要依法细化评审工作程序，组建评审委员会，并按规定程序组织评审。要核实评审委员会成员身份，告知回避要求，宣布评审工作纪律和程序，介绍政府采购相关政策法规；要根据评审委员会的要求解释采购文件，组织供应商澄清；要对评审数据进行校对、核对，对畸高、畸低的重大差异评分可以提示评审委员会复核或书面说明理由；要对评审专家的专业技术水平、职业道德素质和评审工作等情况进行评价，并向财政部门反馈。省级以上政府集中采购机构和政府采购甲级代理机构，应当对评审工作现场进行全过程录音录像，录音录像资料作为采购项目文件随其他文件一并存档。评审委员会成员要根据政府采购法律法规和采购文件所载明的评审方法、标准进行评审。要熟悉和理解采购文件，认真阅读所有供应商的投标或响应文件，对所有投标或响应文件逐一进行资格性、符合性检查，按采购文件规定的评审方法和标准，进行比较和评价；对供应商的价格分等客观评分项的评分应当一致，对其他需要借助专业知识评判的主观评分项，应当严格按照评分细则公正评分。评审委员会如需要供应商对投标或响应文件有关事项作出澄清的，应当给予供应商必要的反馈时间，但澄清事项不得超出投标或响应文件的范围，不得实质性改变投标或响应文件的内容，不得通过澄清等方式对供应商实行差别对待。评审委员会要对评分汇总情况进行复核，特别是对排名第一的、报价最低的、投标或相应文件被认定为无效的情形进行重点复核，并根据评审结果推荐中标或成交候选供应商，或者根据采购人委托协议规定直接确定中标或成交供应商，起草并签署评审报告。,政策知识
评审委员会在复核评分时，哪些情况需要重点复核？,评审委员会在复核评分时，需要重点复核排名第一的、报价最低的以及投标或响应文件被认定为无效的情形，以确保评审结果的准确性和公正性。,评审委员会要对评分汇总情况进行复核，特别是对排名第一的、报价最低的、投标或相应文件被认定为无效的情形进行重点复核。,"{'title': '财政部关于进一步规范政府采购评审工作有关问题的通知', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：国家'}",采购人、采购代理机构和评审委员会在评审工作中，要依法相互监督和制约，并自觉接受各级财政部门的监督。对非法干预评审工作等违法违规行为，应当及时向财政部门报告。二、切实履行政府采购评审职责采购人、采购代理机构要依法细化评审工作程序，组建评审委员会，并按规定程序组织评审。要核实评审委员会成员身份，告知回避要求，宣布评审工作纪律和程序，介绍政府采购相关政策法规；要根据评审委员会的要求解释采购文件，组织供应商澄清；要对评审数据进行校对、核对，对畸高、畸低的重大差异评分可以提示评审委员会复核或书面说明理由；要对评审专家的专业技术水平、职业道德素质和评审工作等情况进行评价，并向财政部门反馈。省级以上政府集中采购机构和政府采购甲级代理机构，应当对评审工作现场进行全过程录音录像，录音录像资料作为采购项目文件随其他文件一并存档。评审委员会成员要根据政府采购法律法规和采购文件所载明的评审方法、标准进行评审。要熟悉和理解采购文件，认真阅读所有供应商的投标或响应文件，对所有投标或响应文件逐一进行资格性、符合性检查，按采购文件规定的评审方法和标准，进行比较和评价；对供应商的价格分等客观评分项的评分应当一致，对其他需要借助专业知识评判的主观评分项，应当严格按照评分细则公正评分。评审委员会如需要供应商对投标或响应文件有关事项作出澄清的，应当给予供应商必要的反馈时间，但澄清事项不得超出投标或响应文件的范围，不得实质性改变投标或响应文件的内容，不得通过澄清等方式对供应商实行差别对待。评审委员会要对评分汇总情况进行复核，特别是对排名第一的、报价最低的、投标或相应文件被认定为无效的情形进行重点复核，并根据评审结果推荐中标或成交候选供应商，或者根据采购人委托协议规定直接确定中标或成交供应商，起草并签署评审报告。,政策知识
在执行《政府采购公告和公示信息格式规范（2020年版）》过程中遇到政策问题，应向哪个部门反馈？,在执行《政府采购公告和公示信息格式规范（2020年版）》过程中遇到政策问题，应及时向财政部国库司反馈。,执行中如遇政策问题，请及时向财政部国库司反馈。,"{'title': '财政部办公厅关于印发《政府采购公告和公示信息格式规范(2020年版)》的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",财政部办公厅关于印发《政府采购公告和公示信息格式规范（2020年版）》的通知（财办库〔2020〕50号）各中央预算单位办公厅（室），各省、自治区、直辖市、计划单列市财政厅（局），新疆生产建设兵团财政局：为规范政府采购公告和公示信息发布行为，提高政府采购活动透明度，财政部研究制定了《政府采购公告和公示信息格式规范（2020年版）》，现印发给你们，请遵照执行。各部门、各地区要高度重视政府采购信息公开工作，督促指导采购单位和采购代理机构自2020年7月1日起按照本格式规范编制发布政府采购信息。执行中如遇政策问题，请及时向财政部国库司反馈。附件：政府采购公告和公示信息格式规范（2020年版） 财政部办公厅 2020年3月18日,政策知识
各部门和各地区在政府采购信息公开工作中应承担什么责任？,各部门和各地区应高度重视政府采购信息公开工作，督促和指导采购单位及采购代理机构自2020年7月1日起按照《政府采购公告和公示信息格式规范（2020年版）》编制和发布政府采购信息。,各部门、各地区要高度重视政府采购信息公开工作，督促指导采购单位和采购代理机构自2020年7月1日起按照本格式规范编制发布政府采购信息。,"{'title': '财政部办公厅关于印发《政府采购公告和公示信息格式规范(2020年版)》的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",财政部办公厅关于印发《政府采购公告和公示信息格式规范（2020年版）》的通知（财办库〔2020〕50号）各中央预算单位办公厅（室），各省、自治区、直辖市、计划单列市财政厅（局），新疆生产建设兵团财政局：为规范政府采购公告和公示信息发布行为，提高政府采购活动透明度，财政部研究制定了《政府采购公告和公示信息格式规范（2020年版）》，现印发给你们，请遵照执行。各部门、各地区要高度重视政府采购信息公开工作，督促指导采购单位和采购代理机构自2020年7月1日起按照本格式规范编制发布政府采购信息。执行中如遇政策问题，请及时向财政部国库司反馈。附件：政府采购公告和公示信息格式规范（2020年版） 财政部办公厅 2020年3月18日,政策知识
《政府采购公告和公示信息格式规范（2020年版）》的制定目的是什么？,《政府采购公告和公示信息格式规范（2020年版）》的制定目的是为了规范政府采购公告和公示信息的发布行为，提高政府采购活动的透明度。,为规范政府采购公告和公示信息发布行为，提高政府采购活动透明度，财政部研究制定了《政府采购公告和公示信息格式规范（2020年版）》，现印发给你们，请遵照执行。,"{'title': '财政部办公厅关于印发《政府采购公告和公示信息格式规范(2020年版)》的通知', 'time': '发布时间：2020-12-22', 'infosource': '信息来源：国家'}",财政部办公厅关于印发《政府采购公告和公示信息格式规范（2020年版）》的通知（财办库〔2020〕50号）各中央预算单位办公厅（室），各省、自治区、直辖市、计划单列市财政厅（局），新疆生产建设兵团财政局：为规范政府采购公告和公示信息发布行为，提高政府采购活动透明度，财政部研究制定了《政府采购公告和公示信息格式规范（2020年版）》，现印发给你们，请遵照执行。各部门、各地区要高度重视政府采购信息公开工作，督促指导采购单位和采购代理机构自2020年7月1日起按照本格式规范编制发布政府采购信息。执行中如遇政策问题，请及时向财政部国库司反馈。附件：政府采购公告和公示信息格式规范（2020年版） 财政部办公厅 2020年3月18日,政策知识
财政部门在收到上市公司股份转让材料后需要进行哪些审核工作？,财政部门在收到上市公司股份转让材料后，需要对转让方报送的材料进行认真审核，并出具股份转让批复文件。,第四十九条 财政部门应当对转让方报送的材料进行认真审核，并出具股份转让批复文件。,"{'title': '金融企业国有资产转让管理办法', 'time': '发布时间：2020-11-18', 'infosource': '信息来源：国家'}",第四十六条 受让上市公司股份后，受让方拥有上市公司实际控制权的，应当具备以下条件：（一）具有法人资格；（二）设立3年以上，最近2年连续盈利且无重大违法违规行为；（三）具有促进上市公司持续发展和改善上市公司法人治理结构的能力。第四十七条 受让方确定后，转让方应当及时与受让方签署股份转让协议。转让协议应当包括但不限于以下内容：（一）转让方、上市公司、受让方企业名称、法定代表人姓名及住所；（二）转让方持股数量、拟转让股份数量及价格；（三）转让方、受让方的权利和义务；（四）股份转让价款支付方式及期限；（五）股份登记过户条件；（六）协议变更和解除条件；（七）协议争议解决方式；（八）协议各方的违约责任；（九）协议生效条件。第四十八条 上市公司股份的转让方为国有及国有控股金融企业的，转让方在确定受让方后，应当及时向财政部门报送以下材料：（一）转让方案的实施及选择受让方的有关情况；（二）上一年度经会计师事务所审计的财务会计报告；（三）受让方基本情况、公司章程及最近一期经会计师事务所审计的财务会计报告；（四）上市公司基本情况、最近一期中期财务会计报告及经会计师事务所审计年度财务会计报告；（五）股份转让协议及股份转让价格的定价说明；（六）受让方与国有股东、上市公司之间在最近12个月内股权转让、资产置换、投资等重大情况及债权债务情况；（七）律师事务所出具的法律意见书；（八）转让上市公司股份对公司股价和资本市场的影响；（九）财政部门规定的其他文件。第四十九条 财政部门应当对转让方报送的材料进行认真审核，并出具股份转让批复文件。第五十条 转让方应当按照本办法第二十四条的规定，收取转让价款，并按照国家有关规定及时办理相关国有产权登记手续。,政策知识
铁路工程建设项目是否必须采用电子招标投标方式？,是的，根据国家有关规定，铁路工程建设项目的招标人和交易场所应当推行电子招标投标方式，并且国家铁路局建立了铁路工程建设行政监督平台，对招标投标活动实行信息化监督管理。,铁路工程建设项目的招标人和交易场所应当按照国家有关规定推行电子招标投标。国家铁路局建立铁路工程建设行政监督平台，对铁路工程建设项目招标投标活动实行信息化监督管理。,"{'title': '铁路工程建设项目招标投标管理办法', 'time': '发布时间：2020-12-10', 'infosource': '信息来源：国家'}",国家铁路局、地区铁路监督管理局以下统称铁路工程建设项目招标投标行政监管部门。第五条   铁路工程建设项目的招标人和交易场所应当按照国家有关规定推行电子招标投标。国家铁路局建立铁路工程建设行政监督平台，对铁路工程建设项目招标投标活动实行信息化监督管理。第二章招标第六条 铁路工程建设项目的招标人是指提出招标项目、进行招标的法人或者其他组织。招标人组织开展的铁路工程建设项目招标活动，应当具备《中华人民共和国招标投标法》、《中华人民共和国招标投标法实施条例》、《工程建设项目勘察设计招标投标办法》、《工程建设项目施工招标投标办法》、《工程建设项目货物招标投标办法》等规定的有关条件。第七条 招标人委托招标代理机构进行招标的，应当与被委托的招标代理机构签订书面委托合同。招标人授权项目管理机构进行招标或者由项目代建人承担招标工作的，招标人或者代建项目的委托人应当出具包括委托授权招标范围、招标工作权限等内容的委托授权书。多个招标人就相同或者类似的招标项目进行联合招标的，可以委托招标代理机构或者其中一个招标人牵头组织招标工作。第八条 依法必须进行招标的铁路工程建设项目，招标人应当根据国务院发展改革部门会同有关行政监督部门制定的《标准施工招标资格预审文件》、《标准施工招标文件》、《标准设备采购招标文件》、《标准材料采购招标文件》、《标准勘察招标文件》、《标准设计招标文件》、《标准监理招标文件》等标准文本以及铁路行业补充文本，结合招标项目具体特点和实际需要，编制资格预审文件和招标文件。第九条 采用公开招标方式的铁路工程建设项目，招标人应当依法发布资格预审公告或者招标公告。,政策知识
